0.000100 0.000000 0.000000,0.004200 0.000000 0.000000,0.008300 0.000000 0.000000,0.012400 0.000000 0.000000,0.016500 0.000000 0.000000,0.020600 0.000000 0.000000,0.024700 0.000000 0.000000,0.028800 0.000000 0.000000,0.032900 0.000000 0.000000,0.037000 0.000000 0.000000,0.041100 0.000000 0.000000,0.045200 0.000000 0.000000,0.049300 0.000000 0.000000,0.053400 0.000000 0.000000,0.057500 0.000000 0.000000,0.061600 0.000000 0.000000,0.065700 0.000000 0.000000,0.069800 0.000000 0.000000,0.073900 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004194 0.000193 0.000000,0.008256 0.000745 0.000000,0.012253 0.001651 0.000000,0.016155 0.002904 0.000000,0.019933 0.004495 0.000000,0.023556 0.006411 0.000000,0.026997 0.008637 0.000000,0.030230 0.011157 0.000000,0.033229 0.013951 0.000000,0.035971 0.016997 0.000000,0.038435 0.020272 0.000000,0.040603 0.023751 0.000000,0.042457 0.027406 0.000000,0.043983 0.031210 0.000000,0.045169 0.035134 0.000000,0.046007 0.039146 0.000000,0.046489 0.043216 0.000000,0.046612 0.047313 0.000000,0.046115 0.053488 0.000000,
0.000100 0.000000 0.000000,0.004177 0.000386 0.000000,0.008123 0.001478 0.000000,0.011818 0.003243 0.000000,0.015147 0.005627 0.000000,0.018008 0.008557 0.000000,0.020313 0.011941 0.000000,0.021991 0.015676 0.000000,0.022990 0.019647 0.000000,0.023280 0.023731 0.000000,0.022851 0.027804 0.000000,0.021717 0.031738 0.000000,0.019913 0.035414 0.000000,0.017493 0.038718 0.000000,0.014534 0.041547 0.000000,0.011125 0.043816 0.000000,0.007373 0.045455 0.000000,0.003391 0.046411 0.000000,-0.000696 0.046658 0.000000,-0.006798 0.045669 0.000000,
0.000100 0.000001 0.000000,0.004147 0.000577 0.000000,0.007905 0.002188 0.000000,0.011113 0.004722 0.000000,0.013550 0.008004 0.000000,0.015047 0.011808 0.000000,0.015502 0.015871 0.000000,0.014883 0.019912 0.000000,0.013232 0.023652 0.000000,0.010664 0.026833 0.000000,0.007356 0.029235 0.000000,0.003537 0.030692 0.000000,-0.000531 0.031104 0.000000,-0.004565 0.030441 0.000000,-0.008287 0.028751 0.000000,-0.011441 0.026149 0.000000,-0.013807 0.022816 0.000000,-0.015224 0.018981 0.000000,-0.015592 0.014910 0.000000,-0.014123 0.008928 0.000000,
0.000100 0.000001 0.000000,0.004107 0.000765 0.000000,0.007605 0.002863 0.000000,0.010168 0.006036 0.000000,0.011482 0.009897 0.000000,0.011386 0.013975 0.000000,0.009892 0.017771 0.000000,0.007183 0.020820 0.000000,0.003590 0.022751 0.000000,-0.000448 0.023327 0.000000,-0.004437 0.022477 0.000000,-0.007891 0.020306 0.000000,-0.010385 0.017079 0.000000,-0.011617 0.013190 0.000000,-0.011434 0.009115 0.000000,-0.009860 0.005352 0.000000,-0.007087 0.002361 0.000000,-0.003454 0.000507 0.000000,0.000596 0.000018 0.000000,0.006410 0.001952 0.000000,
0.000100 0.000001 0.000000,0.004055 0.000951 0.000000,0.007230 0.003492 0.000000,0.009023 0.007143 0.000000,0.009093 0.011210 0.000000,0.007427 0.014920 0.000000,0.004341 0.017569 0.000000,0.000421 0.018655 0.000000,-0.003588 0.017970 0.000000,-0.006925 0.015646 0.000000,-0.008957 0.012122 0.000000,-0.009297 0.008069 0.000000,-0.007882 0.004257 0.000000,-0.004979 0.001408 0.000000,-0.001141 0.000064 0.000000,0.002905 0.000480 0.000000,0.006390 0.002577 0.000000,0.008652 0.005958 0.000000,0.009261 0.009979 0.000000,0.006883 0.015582 0.000000,
0.000100 0.000001 0.000000,0.003992 0.001132 0.000000,0.006786 0.004068 0.000000,0.007724 0.008010 0.000000,0.006552 0.011890 0.000000,0.003587 0.014653 0.000000,-0.000365 0.015549 0.000000,-0.004232 0.014335 0.000000,-0.006963 0.011341 0.000000,-0.007818 0.007380 0.000000,-0.006563 0.003526 0.000000,-0.003540 0.000827 0.000000,0.000430 0.000015 0.000000,0.004271 0.001310 0.000000,0.006938 0.004362 0.000000,0.007707 0.008341 0.000000,0.006371 0.012167 0.000000,0.003291 0.014801 0.000000,-0.000695 0.015529 0.000000,-0.006046 0.012732 0.000000,
0.000100 0.000001 0.000000,0.003918 0.001309 0.000000,0.006282 0.004580 0.000000,0.006325 0.008616 0.000000,0.004033 0.011937 0.000000,0.000244 0.013327 0.000000,-0.003653 0.012276 0.000000,-0.006229 0.009170 0.000000,-0.006541 0.005146 0.000000,-0.004474 0.001680 0.000000,-0.000786 0.000041 0.000000,0.003171 0.000830 0.000000,0.005949 0.003758 0.000000,0.006528 0.007752 0.000000,0.004696 0.011348 0.000000,0.001126 0.013229 0.000000,-0.002876 0.012705 0.000000,-0.005842 0.009968 0.000000,-0.006685 0.006021 0.000000,-0.003500 0.000962 0.000000,
0.000100 -0.000000 0.000000,0.004194 -0.000193 0.000000,0.008256 -0.000745 0.000000,0.012253 -0.001651 0.000000,0.016155 -0.002904 0.000000,0.019933 -0.004495 0.000000,0.023556 -0.006411 0.000000,0.026997 -0.008637 0.000000,0.030230 -0.011157 0.000000,0.033229 -0.013951 0.000000,0.035971 -0.016997 0.000000,0.038435 -0.020272 0.000000,0.040603 -0.023751 0.000000,0.042457 -0.027406 0.000000,0.043983 -0.031210 0.000000,0.045169 -0.035134 0.000000,0.046007 -0.039146 0.000000,0.046489 -0.043216 0.000000,0.046612 -0.047313 0.000000,0.046115 -0.053488 0.000000,
0.000100 -0.000000 0.000000,0.004177 -0.000386 0.000000,0.008123 -0.001478 0.000000,0.011818 -0.003243 0.000000,0.015147 -0.005627 0.000000,0.018008 -0.008557 0.000000,0.020313 -0.011941 0.000000,0.021991 -0.015676 0.000000,0.022990 -0.019647 0.000000,0.023280 -0.023731 0.000000,0.022851 -0.027804 0.000000,0.021717 -0.031738 0.000000,0.019913 -0.035414 0.000000,0.017493 -0.038718 0.000000,0.014534 -0.041547 0.000000,0.011125 -0.043816 0.000000,0.007373 -0.045455 0.000000,0.003391 -0.046411 0.000000,-0.000696 -0.046658 0.000000,-0.006798 -0.045669 0.000000,
0.000100 -0.000001 0.000000,0.004147 -0.000577 0.000000,0.007905 -0.002188 0.000000,0.011113 -0.004722 0.000000,0.013550 -0.008004 0.000000,0.015047 -0.011808 0.000000,0.015502 -0.015871 0.000000,0.014883 -0.019912 0.000000,0.013232 -0.023652 0.000000,0.010664 -0.026833 0.000000,0.007356 -0.029235 0.000000,0.003537 -0.030692 0.000000,-0.000531 -0.031104 0.000000,-0.004565 -0.030441 0.000000,-0.008287 -0.028751 0.000000,-0.011441 -0.026149 0.000000,-0.013807 -0.022816 0.000000,-0.015224 -0.018981 0.000000,-0.015592 -0.014910 0.000000,-0.014123 -0.008928 0.000000,
0.000100 -0.000001 0.000000,0.004107 -0.000765 0.000000,0.007605 -0.002863 0.000000,0.010168 -0.006036 0.000000,0.011482 -0.009897 0.000000,0.011386 -0.013975 0.000000,0.009892 -0.017771 0.000000,0.007183 -0.020820 0.000000,0.003590 -0.022751 0.000000,-0.000448 -0.023327 0.000000,-0.004437 -0.022477 0.000000,-0.007891 -0.020306 0.000000,-0.010385 -0.017079 0.000000,-0.011617 -0.013190 0.000000,-0.011434 -0.009115 0.000000,-0.009860 -0.005352 0.000000,-0.007087 -0.002361 0.000000,-0.003454 -0.000507 0.000000,0.000596 -0.000018 0.000000,0.006410 -0.001952 0.000000,
0.000100 -0.000001 0.000000,0.004055 -0.000951 0.000000,0.007230 -0.003492 0.000000,0.009023 -0.007143 0.000000,0.009093 -0.011210 0.000000,0.007427 -0.014920 0.000000,0.004341 -0.017569 0.000000,0.000421 -0.018655 0.000000,-0.003588 -0.017970 0.000000,-0.006925 -0.015646 0.000000,-0.008957 -0.012122 0.000000,-0.009297 -0.008069 0.000000,-0.007882 -0.004257 0.000000,-0.004979 -0.001408 0.000000,-0.001141 -0.000064 0.000000,0.002905 -0.000480 0.000000,0.006390 -0.002577 0.000000,0.008652 -0.005958 0.000000,0.009261 -0.009979 0.000000,0.006883 -0.015582 0.000000,
0.000100 -0.000001 0.000000,0.003992 -0.001132 0.000000,0.006786 -0.004068 0.000000,0.007724 -0.008010 0.000000,0.006552 -0.011890 0.000000,0.003587 -0.014653 0.000000,-0.000365 -0.015549 0.000000,-0.004232 -0.014335 0.000000,-0.006963 -0.011341 0.000000,-0.007818 -0.007380 0.000000,-0.006563 -0.003526 0.000000,-0.003540 -0.000827 0.000000,0.000430 -0.000015 0.000000,0.004271 -0.001310 0.000000,0.006938 -0.004362 0.000000,0.007707 -0.008341 0.000000,0.006371 -0.012167 0.000000,0.003291 -0.014801 0.000000,-0.000695 -0.015529 0.000000,-0.006046 -0.012732 0.000000,
0.000100 -0.000001 0.000000,0.003918 -0.001309 0.000000,0.006282 -0.004580 0.000000,0.006325 -0.008616 0.000000,0.004033 -0.011937 0.000000,0.000244 -0.013327 0.000000,-0.003653 -0.012276 0.000000,-0.006229 -0.009170 0.000000,-0.006541 -0.005146 0.000000,-0.004474 -0.001680 0.000000,-0.000786 -0.000041 0.000000,0.003171 -0.000830 0.000000,0.005949 -0.003758 0.000000,0.006528 -0.007752 0.000000,0.004696 -0.011348 0.000000,0.001126 -0.013229 0.000000,-0.002876 -0.012705 0.000000,-0.005842 -0.009968 0.000000,-0.006685 -0.006021 0.000000,-0.003500 -0.000962 0.000000,
0.003080 0.000000 0.000000,0.129360 0.000000 0.000000,0.255640 0.000000 0.000000,0.381920 0.000000 0.000000,0.508200 0.000000 0.000000,0.634480 0.000000 0.000000,0.760760 0.000000 0.000000,0.887040 0.000000 0.000000,1.013320 0.000000 0.000000,1.139600 0.000000 0.000000,1.265880 0.000000 0.000000,1.392160 0.000000 0.000000,1.518440 0.000000 0.000000,1.644720 0.000000 0.000000,1.771000 0.000000 0.000000,1.897280 0.000000 0.000000,2.023560 0.000000 0.000000,2.149840 0.000000 0.000000,2.276120 0.000000 0.000000,2.467080 0.000000 0.000000,
0.003080 0.000007 0.000000,0.129179 0.005956 0.000000,0.254270 0.022946 0.000000,0.377387 0.050847 0.000000,0.497582 0.089444 0.000000,0.613926 0.138437 0.000000,0.725523 0.197451 0.000000,0.831511 0.266028 0.000000,0.931073 0.343642 0.000000,1.023441 0.429691 0.000000,1.107902 0.523514 0.000000,1.183806 0.624385 0.000000,1.250565 0.731528 0.000000,1.307666 0.844115 0.000000,1.354668 0.961278 0.000000,1.391208 1.082114 0.000000,1.417005 1.205689 0.000000,1.431859 1.331052 0.000000,1.435656 1.457234 0.000000,1.420354 1.647439 0.000000,
0.003080 0.000013 0.000000,0.128638 0.011887 0.000000,0.250186 0.045526 0.000000,0.363982 0.099896 0.000000,0.466522 0.173321 0.000000,0.554647 0.263541 0.000000,0.625644 0.367777 0.000000,0.677326 0.482819 0.000000,0.708101 0.605124 0.000000,0.717023 0.730926 0.000000,0.703815 0.856350 0.000000,0.668885 0.977534 0.000000,0.613308 1.090746 0.000000,0.538797 1.192499 0.000000,0.447645 1.279660 0.000000,0.342660 1.349545 0.000000,0.227075 1.400001 0.000000,0.104450 1.429474 0.000000,-0.021440 1.437057 0.000000,-0.209390 1.406620 0.000000,
0.003080 0.000020 0.000000,0.127738 0.017768 0.000000,0.243467 0.067381 0.000000,0.342273 0.145432 0.000000,0.417333 0.246529 0.000000,0.463462 0.363690 0.000000,0.477473 0.488823 0.000000,0.458400 0.613285 0.000000,0.407560 0.728480 0.000000,0.328463 0.826451 0.000000,0.226574 0.900431 0.000000,0.108929 0.945312 0.000000,-0.016346 0.957993 0.000000,-0.140598 0.937597 0.000000,-0.255246 0.885535 0.000000,-0.352370 0.805401 0.000000,-0.425264 0.702731 0.000000,-0.468891 0.584616 0.000000,-0.480239 0.459213 0.000000,-0.434995 0.274989 0.000000,
0.003080 0.000026 0.000000,0.126484 0.023577 0.000000,0.234240 0.088168 0.000000,0.313174 0.185906 0.000000,0.353639 0.304842 0.000000,0.350688 0.430439 0.000000,0.304683 0.547344 0.000000,0.221245 0.641267 0.000000,0.110576 0.700727 0.000000,-0.013799 0.718456 0.000000,-0.136675 0.692287 0.000000,-0.243032 0.625419 0.000000,-0.319870 0.526025 0.000000,-0.357797 0.406255 0.000000,-0.352177 0.280750 0.000000,-0.303696 0.164849 0.000000,-0.218280 0.072722 0.000000,-0.106371 0.015628 0.000000,0.018352 0.000548 0.000000,0.197428 0.060110 0.000000,
0.003080 0.000033 0.000000,0.124884 0.029288 0.000000,0.222681 0.107567 0.000000,0.277901 0.220007 0.000000,0.280059 0.345256 0.000000,0.228744 0.459531 0.000000,0.133701 0.541133 0.000000,0.012977 0.574565 0.000000,-0.110503 0.553481 0.000000,-0.213293 0.481882 0.000000,-0.275873 0.373366 0.000000,-0.286360 0.248538 0.000000,-0.242764 0.131102 0.000000,-0.153361 0.043357 0.000000,-0.035130 0.001965 0.000000,0.089480 0.014786 0.000000,0.196806 0.079386 0.000000,0.266469 0.183497 0.000000,0.285239 0.307350 0.000000,0.211998 0.479920 0.000000,
